ParkName,ParkCode,LocationID,LocationNumber,LocationType,StreamName,County,ReachID,PeriodID,tbl_SamplingPeriods_Season,tbl_SamplingPeriods_StartDate,tbl_SamplingPeriods_EndDate,tbl_SamplingEvents_Season,tbl_SamplingEvents_StartDate,tbl_SamplingEvents_EndDate,AdditionalComments,StartTime,EndTime,TransectNo,TranLoc,Taxon,SampleCode,PercentRangeOfCover,PercentRangeOfCover_Midpoint,TSN,AquVegGroup
Ozark National Scenic Riverways - SPRINGS,OZRS,OZRSSPRNGSSITE01,01,Spring,Alley Spring,Shannon,OZARSPRALL,OZRSSPRNGS2007Jul23,2007,7/23/2007 0:00:00,8/1/2007 0:00:00,2007,7/24/2007 0:00:00,7/25/2007 0:00:00,,,,1,L,Bare Substrate,3,5-25%,15.00,-999,BARE SUBSTRATE
Ozark National Scenic Riverways - SPRINGS,OZRS,OZRSSPRNGSSITE01,01,Spring,Alley Spring,Shannon,OZARSPRALL,OZRSSPRNGS2007Jul23,2007,7/23/2007 0:00:00,8/1/2007 0:00:00,2007,7/24/2007 0:00:00,7/25/2007 0:00:00,,,,1,L,Callitriche heterophylla,1,0-0.99%,0.50,32053,Angiosperms
Ozark National Scenic Riverways - SPRINGS,OZRS,OZRSSPRNGSSITE01,01,Spring,Alley Spring,Shannon,OZARSPRALL,OZRSSPRNGS2007Jul23,2007,7/23/2007 0:00:00,8/1/2007 0:00:00,2007,7/24/2007 0:00:00,7/25/2007 0:00:00,,,,1,L,Filamentous algae,2,1-5%,3.00,-999,Algae
Ozark National Scenic Riverways - SPRINGS,OZRS,OZRSSPRNGSSITE01,01,Spring,Alley Spring,Shannon,OZARSPRALL,OZRSSPRNGS2007Jul23,2007,7/23/2007 0:00:00,8/1/2007 0:00:00,2007,7/24/2007 0:00:00,7/25/2007 0:00:00,,,,1,L,Mosses,4,25-50%,37.50,-999,Mosses
Ozark National Scenic Riverways - SPRINGS,OZRS,OZRSSPRNGSSITE01,01,Spring,Alley Spring,Shannon,OZARSPRALL,OZRSSPRNGS2007Jul23,2007,7/23/2007 0:00:00,8/1/2007 0:00:00,2007,7/24/2007 0:00:00,7/25/2007 0:00:00,,,,1,L,Nasturtium officinale,3,5-25%,15.00,23255,Angiosperms
Ozark National Scenic Riverways - SPRINGS,OZRS,OZRSSPRNGSSITE01,01,Spring,Alley Spring,Shannon,OZARSPRALL,OZRSSPRNGS2007Jul23,2007,7/23/2007 0:00:00,8/1/2007 0:00:00,2007,7/24/2007 0:00:00,7/25/2007 0:00:00,,,,1,M,Bare Substrate,3,5-25%,15.00,-999,BARE SUBSTRATE
Ozark National Scenic Riverways - SPRINGS,OZRS,OZRSSPRNGSSITE01,01,Spring,Alley Spring,Shannon,OZARSPRALL,OZRSSPRNGS2007Jul23,2007,7/23/2007 0:00:00,8/1/2007 0:00:00,2007,7/24/2007 0:00:00,7/25/2007 0:00:00,,,,1,M,Callitriche heterophylla,3,5-25%,15.00,32053,Angiosperms
Ozark National Scenic Riverways - SPRINGS,OZRS,OZRSSPRNGSSITE01,01,Spring,Alley Spring,Shannon,OZARSPRALL,OZRSSPRNGS2007Jul23,2007,7/23/2007 0:00:00,8/1/2007 0:00:00,2007,7/24/2007 0:00:00,7/25/2007 0:00:00,,,,1,M,Filamentous algae,2,1-5%,3.00,-999,Algae
Ozark National Scenic Riverways - SPRINGS,OZRS,OZRSSPRNGSSITE01,01,Spring,Alley Spring,Shannon,OZARSPRALL,OZRSSPRNGS2007Jul23,2007,7/23/2007 0:00:00,8/1/2007 0:00:00,2007,7/24/2007 0:00:00,7/25/2007 0:00:00,,,,1,M,Glyceria striata,3,5-25%,15.00,40833,Angiosperms
Ozark National Scenic Riverways - SPRINGS,OZRS,OZRSSPRNGSSITE01,01,Spring,Alley Spring,Shannon,OZARSPRALL,OZRSSPRNGS2007Jul23,2007,7/23/2007 0:00:00,8/1/2007 0:00:00,2007,7/24/2007 0:00:00,7/25/2007 0:00:00,,,,1,M,Mosses,1,0-0.99%,0.50,-999,Mosses
Ozark National Scenic Riverways - SPRINGS,OZRS,OZRSSPRNGSSITE01,01,Spring,Alley Spring,Shannon,OZARSPRALL,OZRSSPRNGS2007Jul23,2007,7/23/2007 0:00:00,8/1/2007 0:00:00,2007,7/24/2007 0:00:00,7/25/2007 0:00:00,,,,1,M,Nasturtium officinale,4,25-50%,37.50,23255,Angiosperms
